Title,Organization,URL,Rating,Languages Available,Enroll Information,Taught Language,Difficulty,Type,Duration,Data Science Skills Count,Engineering and Programming Skills Count,Mathematical Theory and Problem Solving Skills Count,Skills Count,Quizzes,Assignments
Ciberseguridad de Google,Google,https://www.coursera.org/professional-certificates/ciberseguridad-de-google,4.9,11,759433,English,Beginner,Professional Certificate,3 - 6 Months,6,4,0,5,0,0
Python Data Structures,University of Michigan,https://www.coursera.org/learn/python-data,4.9,24,1077556,English,Beginner,Course,1 - 3 Months,5,3,3,11,0,5
Cybersecurity Attack and Defense Fundamentals,EC-Council,https://www.coursera.org/specializations/cybersecurity-attack-and-defense,4.6,22,24332,English,Beginner,Specialization,3 - 6 Months,1,5,0,15,0,0
Artificial Intelligence (AI) Education for Teachers,Macquarie University,https://www.coursera.org/learn/artificial-intelligence-education-for-teachers,4.7,21,29440,English,Beginner,Course,1 - 3 Months,2,0,1,3,0,14
Mathematics for Engineers,The Hong Kong University of Science and Technology,https://www.coursera.org/specializations/mathematics-engineers,4.8,24,21776,English,Beginner,Specialization,3 - 6 Months,5,2,8,18,0,0
Kotlin for Java Developers,JetBrains,https://www.coursera.org/learn/kotlin-for-java-developers,4.7,22,116771,English,Intermediate,Course,1 - 3 Months,3,4,3,8,0,0
Artificial Intelligence: an Overview,Politecnico di Milano,https://www.coursera.org/specializations/artificial-intelligence-overview,4.6,21,5684,English,Beginner,Specialization,3 - 6 Months,2,2,1,12,0,0
Harnessing the Power of Data with Power BI,Microsoft,https://www.coursera.org/learn/harnessing-the-power-of-data-with-power-bi,4.6,22,85207,English,Beginner,Course,1 - 4 Weeks,4,0,0,6,0,17
Achieving Personal and Professional Success,University of Pennsylvania,https://www.coursera.org/specializations/wharton-success,4.7,22,56945,English,Beginner,Specialization,3 - 6 Months,1,0,1,15,0,0
Introduction to Corporate Finance,University of Pennsylvania,https://www.coursera.org/learn/wharton-finance,4.6,22,232054,English,Mixed,Course,1 - 4 Weeks,3,0,1,10,0,4
Accelerated Computer Science Fundamentals,University of Illinois Urbana-Champaign,https://www.coursera.org/specializations/cs-fundamentals,4.7,22,47124,English,Intermediate,Specialization,1 - 3 Months,3,4,4,12,0,0
Introduction to Electronics,Georgia Institute of Technology,https://www.coursera.org/learn/electronics,4.7,22,241642,English,Mixed,Course,1 - 3 Months,1,0,1,1,0,70
ITIL 4 Certification,EDUCBA,https://www.coursera.org/specializations/itil-4-certification,4.3,0,5297,English,Beginner,Specialization,3 - 6 Months,5,0,3,13,0,0
Generative AI: Introduction and Applications,IBM,https://www.coursera.org/learn/generative-ai-introduction-and-applications,4.7,21,107895,English,Beginner,Course,1 - 4 Weeks,6,1,2,15,0,5
Biostatistics in Public Health,Johns Hopkins University,https://www.coursera.org/specializations/biostatistics-public-health,4.8,22,41429,English,Beginner,Specialization,3 - 6 Months,2,2,0,2,0,0
Bayesian Statistics,"University of California, Santa Cruz",https://www.coursera.org/specializations/bayesian-statistics,4.6,23,13809,English,Intermediate,Specialization,3 - 6 Months,2,0,3,10,0,0
Robotic Process Automation (RPA),UiPath,https://www.coursera.org/specializations/roboticprocessautomation,4.7,21,12297,English,Beginner,Specialization,3 - 6 Months,1,0,0,9,0,0
Behavioral Finance,Duke University,https://www.coursera.org/learn/duke-behavioral-finance,4.4,22,173977,English,Beginner,Course,1 - 4 Weeks,1,0,0,10,0,3
Corporate Strategy ,University of London,https://www.coursera.org/learn/corporatestrategy,4.8,22,107256,English,Beginner,Course,1 - 4 Weeks,6,5,0,9,0,6
Social Media Management ,Meta,https://www.coursera.org/learn/social-media-management,4.9,22,220562,English,Beginner,Course,1 - 4 Weeks,1,0,0,1,0,12
MLOps | Machine Learning Operations,Duke University,https://www.coursera.org/specializations/mlops-machine-learning-duke,4.1,22,15092,English,Advanced,Specialization,3 - 6 Months,1,0,0,23,0,0
Managing Emotions in Times of Uncertainty & Stress,Yale University,https://www.coursera.org/learn/managing-emotions-uncertainty-stress,4.8,22,295917,English,Beginner,Course,1 - 3 Months,0,0,0,1,0,12
Teach English Now! Foundational Principles,Arizona State University,https://www.coursera.org/learn/english-principles,4.9,24,242314,English,Mixed,Course,1 - 3 Months,0,0,0,1,0,17
Financial Management,University of Illinois Urbana-Champaign,https://www.coursera.org/specializations/financial-management,4.7,22,82693,English,Intermediate,Specialization,3 - 6 Months,0,0,0,1,0,0
AWS Cloud Practitioner Essentials,Amazon Web Services,https://www.coursera.org/learn/aws-cloud-practitioner-essentials,4.8,22,149734,English,Beginner,Course,1 - 3 Months,1,2,0,2,0,29
Introduction to Mathematical Thinking,Stanford University,https://www.coursera.org/learn/mathematical-thinking,4.8,22,517292,English,Intermediate,Course,1 - 3 Months,3,1,5,10,0,11
Learn Spanish: Basic Spanish Vocabulary,"University of California, Davis",https://www.coursera.org/specializations/learn-spanish,4.6,21,151710,English,Beginner,Specialization,3 - 6 Months,1,0,0,3,0,0
AI Applications in Marketing and Finance,University of Pennsylvania,https://www.coursera.org/learn/wharton-ai-applications-marketing-finance,4.6,21,20765,English,Mixed,Course,1 - 4 Weeks,3,0,1,9,0,4
Introduction to Front-End Development,Meta,https://www.coursera.org/learn/introduction-to-front-end-development,4.8,22,391037,English,Beginner,Course,1 - 4 Weeks,1,3,0,6,0,15
Moral Foundations of Politics ,Yale University,https://www.coursera.org/learn/moral-politics,4.9,22,232370,English,Mixed,Course,1 - 3 Months,6,5,0,5,0,7
Databases and SQL for Data Science with Python,IBM,https://www.coursera.org/learn/sql-data-science,4.7,24,502872,English,Beginner,Course,1 - 3 Months,1,1,0,11,0,17
NASM Personal Fitness Trainer,National Academy of Sports Medicine,https://www.coursera.org/professional-certificates/nasm-personal-fitness-trainer,4.8,0,0,English,Beginner,Professional Certificate,3 - 6 Months,7,3,0,11,0,0
